"","V1"
"946",69
"947",30
"948",34
"949",294
"950",68
"951",86
"952",38
"953",42
"954",28
"955",81
"956",110
"957",59
"958",68
"959",402
"960",58
"961",NA
"962",40
"963",62
"964",188
"965",54
"966",330
"967",46
"968",96
"969",77
"970",86
"971",16
"972",328
"973",145
"974",42
"975",201
"976",67
"977",346
"978",24
"979",154
"980",81
"981",372
"982",60
"983",473
"984",11
"985",228
"986",28
"987",269
"988",27
"989",121
"990",12
"991",26
"992",25
"993",666
"994",100
"995",134
"996",94
"997",37
"998",79
"999",88
"1000",20
"1001",24
"1002",115
"1003",13
"1004",192
"1005",99
"1006",46
"1007",77
"1008",134
"1009",544
"1010",87
"1011",7
"1012",24
"1013",75
"1014",13
"1015",553
"1016",29
"1017",13
"1018",53
"1019",35
"1020",192
"1021",16
"1022",125
"1023",67
"1024",19
"1025",211
"1026",40
"1027",99
"1028",36
"1029",636
"1030",168
"1031",310
"1032",215
"1033",583
"1034",15
"1035",36
"1036",38
"1037",65
"1038",144
"1039",10
"1040",23
"1041",394
"1042",69
"1043",98
"1044",78
"1045",107
"1046",347
"1047",130
"1048",39
"1049",164
"1050",68
"1051",54
"1052",30
"1053",34
"1054",353
"1055",107
"1056",11
"1057",46
"1058",371
"1059",168
"1060",26
"1061",28
"1062",410
"1063",136
"1064",62
"1065",69
"1066",93
"1067",53
"1068",53
"1069",102
"1070",137
"1071",23
"1072",42
"1073",12
"1074",119
"1075",109
"1076",90
"1077",139
"1078",16
"1079",86
"1080",34
"1081",99
"1082",16
"1083",64
"1084",47
"1085",38
"1086",230
"1087",22
"1088",121
"1089",17
"1090",34
"1091",29
"1092",44
"1093",44
"1094",33
"1095",36
"1096",104
"1097",34
"1098",104
"1099",238
"1100",35
"1101",42
"1102",27
"1103",60
"1104",23
"1105",127
"1106",32
"1107",26
"1108",105
"1109",76
"1110",62
"1111",15
"1112",257
"1113",29
"1114",17
"1115",21
"1116",286
"1117",151
"1118",39
"1119",14
"1120",96
"1121",131
"1122",13
"1123",76
"1124",715
"1125",18
"1126",21
"1127",158
"1128",141
"1129",64
"1130",112
"1131",313
"1132",33
"1133",43
"1134",72
"1135",343
"1136",50
"1137",236
"1138",515
"1139",110
"1140",80
"1141",233
"1142",102
"1143",61
"1144",305
"1145",79
"1146",145
"1147",35
"1148",1063
"1149",584
"1150",11
"1151",791
"1152",74
"1153",574
"1154",50
"1155",35
"1156",154
"1157",112
"1158",24
"1159",40
"1160",34
"1161",37
"1162",37
"1163",18
"1164",15
"1165",72
"1166",38
"1167",20
"1168",36
"1169",77
"1170",181
"1171",40
"1172",192
"1173",70
"1174",3
"1175",59
"1176",22
"1177",363
"1178",58
"1179",158
"1180",775
"1181",586
"1182",30
"1183",64
"1184",454
"1185",102
"1186",10
"1187",40
"1188",51
"1189",50
"1190",NA
"1191",83
"1192",66
"1193",17
"1194",111
"1195",18
"1196",36
"1197",79
"1198",35
"1199",67
"1200",54
"1201",40
"1202",55
"1203",38
"1204",124
"1205",347
"1206",36
"1207",148
"1208",29
"1209",123
"1210",42
"1211",33
"1212",104
"1213",98
"1214",114
"1215",26
"1216",41
"1217",95
"1218",70
"1219",78
"1220",121
"1221",55
"1222",49
"1223",14
"1224",19
"1225",444
"1226",123
"1227",190
"1228",58
"1229",110
"1230",22
"1231",26
"1232",333
"1233",215
"1234",59
"1235",48
"1236",23
"1237",76
"1238",25
"1239",60
"1240",83
"1241",44
"1242",200
"1243",56
"1244",46
"1245",20
"1246",42
"1247",49
"1248",67
"1249",22
"1250",34
"1251",139
"1252",64
"1253",11
"1254",100
"1255",80
"1256",419
"1257",102
"1258",212
"1259",176
"1260",44
"1261",240
"1262",237
"1263",37
"1264",44
"1265",65
"1266",21
"1267",0
"1268",183
"1269",17
"1270",35
"1271",67
"1272",47
"1273",12
"1274",39
"1275",16
"1276",147
"1277",93
"1278",76
"1279",102
"1280",38
"1281",60
"1282",748
"1283",99
"1284",119
"1285",31
"1286",80
"1287",63
"1288",213
"1289",11
"1290",28
"1291",46
"1292",81
"1293",55
"1294",23
"1295",36
"1296",63
"1297",85
"1298",251
"1299",85
"1300",34
"1301",25
"1302",54
"1303",602
"1304",75
"1305",163
"1306",282
"1307",35
"1308",74
"1309",114
"1310",141
"1311",44
"1312",340
"1313",125
"1314",159
"1315",28
"1316",51
"1317",15
"1318",34
"1319",182
"1320",64
"1321",51
"1322",71
"1323",28
"1324",315
"1325",223
"1326",131
"1327",226
"1328",50
"1329",53
"1330",111
"1331",404
"1332",47
"1333",354
"1334",229
"1335",157
"1336",30
"1337",21
"1338",26
"1339",31
"1340",261
"1341",29
"1342",93
"1343",30
"1344",83
"1345",769
"1346",24
"1347",26
"1348",71
"1349",12
"1350",62
"1351",1142
"1352",14
"1353",62
"1354",22
"1355",95
"1356",43
"1357",548
"1358",15
"1359",47
"1360",45
"1361",17
"1362",431
"1363",25
"1364",26
"1365",44
"1366",145
"1367",91
"1368",73
"1369",18
"1370",61
"1371",64
"1372",45
"1373",18
"1374",89
"1375",283
"1376",127
"1377",15
"1378",33
"1379",84
"1380",100
"1381",110
"1382",22
"1383",81
"1384",28
"1385",31
"1386",57
"1387",449
"1388",28
"1389",171
"1390",128
"1391",24
"1392",11
"1393",120
"1394",69
"1395",50
"1396",59
"1397",85
"1398",19
"1399",59
"1400",10
"1401",35
"1402",22
"1403",204
"1404",26
"1405",22
"1406",41
"1407",22
"1408",95
"1409",29
"1410",52
"1411",81
"1412",15
"1413",38
"1414",452
"1415",94
"1416",78
"1417",77
"1418",557
"1419",21
"1420",49
"1421",186
"1422",71
"1423",41
"1424",119
"1425",38
"1426",117
"1427",51
"1428",38
"1429",29
"1430",110
"1431",60
"1432",263
"1433",447
"1434",234
"1435",30
"1436",46
"1437",40
"1438",152
"1439",56
"1440",56
"1441",99
"1442",83
"1443",71
"1444",661
"1445",59
"1446",64
"1447",36
"1448",12
"1449",18
"1450",19
"1451",22
"1452",23
"1453",81
"1454",58
"1455",32
"1456",34
"1457",200
"1458",35
"1459",44
"1460",89
"1461",88
"1462",34
"1463",105
"1464",73
"1465",32
"1466",132
"1467",15
"1468",126
"1469",51
"1470",25
"1471",50
"1472",403
"1473",143
"1474",58
"1475",233
"1476",44
"1477",110
"1478",173
"1479",20
"1480",15
"1481",162
"1482",108
"1483",84
"1484",23
"1485",62
"1486",13
"1487",442
"1488",98
"1489",65
"1490",391
"1491",113
"1492",450
"1493",22
"1494",195
"1495",45
"1496",27
"1497",79
"1498",39
"1499",224
"1500",26
"1501",29
"1502",186
"1503",82
"1504",72
"1505",21
"1506",921
"1507",736
"1508",26
"1509",110
"1510",67
"1511",14
"1512",174
"1513",347
