"","V1"
"357",10.3666666666667
"358",0
"359",30.9666666666667
"360",0.72
"361",0.694444444444444
"362",0
"363",19.8666666666667
"364",5.76666666666667
"365",0
"366",0
"367",19.4333333333333
"368",32.7307692307692
"369",3.32258064516129
"370",0
"371",0
"372",0
"373",0
"374",26.3666666666667
"375",0
"376",17.7142857142857
"377",0
"378",0
"379",1.16666666666667
"380",1.43333333333333
"381",0
"382",67.6875
"383",28.7307692307692
"384",0
"385",0.36
"386",6.04
"387",0
"388",22.3703703703704
"389",36.6896551724138
"390",38.2666666666667
"391",2.41379310344828
"392",0
"393",0.733333333333333
"394",42.9714285714286
"395",0
"396",0
"397",0
"398",0
"399",0
"400",0
"401",2.83333333333333
"402",1.35
"403",0
"404",6.46666666666667
"405",0
"406",0.4
"407",16.030303030303
"408",30.875
"409",9.88461538461539
"410",17.0333333333333
"411",0
"412",0
"413",0
"414",8.10714285714286
"415",1.36666666666667
"416",0
"417",0
"418",0
"419",0
"420",45.6875
"421",5.9
"422",0
"423",58.1333333333333
"424",0
"425",7.26666666666667
"426",0
"427",0
"428",4.64
"429",0
"430",0
"431",0.75
"432",0
"433",36.8695652173913
"434",13.76
"435",27.44
"436",0
"437",0
"438",15.2142857142857
"439",9.96551724137931
"440",3.53658536585366
"441",0
"442",28.3888888888889
"443",37.6333333333333
"444",27.2424242424242
"445",2.68571428571429
"446",0
"447",0
"448",13.5
"449",0
"450",9.75862068965517
"451",2.69565217391304
"452",24.1111111111111
"453",0
"454",6.2
"455",0
"456",1.47222222222222
"457",0
"458",8.14814814814815
"459",0
"460",26.3333333333333
"461",0
"462",1.38095238095238
"463",21.3103448275862
"464",18.2666666666667
"465",17.1
"466",0
"467",0
"468",0
"469",5.44
"470",0
"471",11.8928571428571
"472",0
"473",0
"474",22.04
"475",0
"476",0
"477",0
"478",2.24137931034483
"479",0
"480",0
"481",65.92
"482",7.36
"483",17.5833333333333
"484",5.64
"485",9.16666666666667
"486",4.24
"487",0
"488",27
"489",13
"490",10.5384615384615
"491",0
"492",1.79310344827586
"493",28.5833333333333
"494",0
"495",0
"496",50.2083333333333
"497",0
"498",2.26315789473684
"499",0
"500",0
"501",47.52
"502",20.4333333333333
"503",0
"504",0
"505",0
"506",6.48
"507",18.4705882352941
"508",26.3846153846154
"509",31.1578947368421
"510",9.46666666666667
"511",6.24
"512",0
"513",4.63333333333333
"514",0
"515",18.4
"516",0
"517",44.6774193548387
